lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-05-03 02:35:25.980212,,,,,,,,,,,,,,
,2023-05-03 02:35:26.543009,0.6945725679397583,0.24302734434604645,-369.2429504394531,1549.0,6.0,,,,,,,,,
0.02,2023-05-03 02:35:52.710670,,,,,,,,,,,,,,
,2023-05-03 02:35:53.245311,0.05043770372867584,0.00017657395801506937,-379.9917907714844,1599.0,6.0,,,,,,,,,
0.02,2023-05-03 02:36:19.494332,,,,,,,,,,,,,,
,2023-05-03 02:36:20.021906,0.21987950801849365,0.0013468869728967547,-389.8264465332031,1649.0,6.0,,,,,,,,,
0.02,2023-05-03 02:36:46.280465,,,,,,,,,,,,,,
,2023-05-03 02:36:46.816133,0.12396816909313202,0.0005702567868866026,-399.8267517089844,1699.0,6.0,,,,,,,,,
0.02,2023-05-03 02:37:13.067377,,,,,,,,,,,,,,
,2023-05-03 02:37:13.592553,0.01096537709236145,4.940628059557639e-05,-409.7455139160156,1749.0,6.0,,,,,,,,,
,2023-05-03 02:37:15.985587,,,,,6.0,0.0436566136777401,0.00015685615653637797,-409.90789794921875,0.14261795580387115,0.0006475983536802232,-409.8089599609375,,,
,2023-05-03 02:37:15.992354,,,,,6.0,,,,,,,0.11887076497077942,0.004734585992991924,-384.81182861328125
0.02,2023-05-03 02:37:43.658366,,,,,,,,,,,,,,
,2023-05-03 02:37:44.188690,0.01105865091085434,5.112928192829713e-05,-419.4534912109375,1799.0,7.0,,,,,,,,,
0.02,2023-05-03 02:38:10.385424,,,,,,,,,,,,,,
,2023-05-03 02:38:10.919785,0.027224257588386536,0.00010225296136923134,-429.0487060546875,1849.0,7.0,,,,,,,,,
0.02,2023-05-03 02:38:37.136447,,,,,,,,,,,,,,
,2023-05-03 02:38:37.664095,0.09651941061019897,0.000331029761582613,-438.49517822265625,1899.0,7.0,,,,,,,,,
0.02,2023-05-03 02:39:03.872909,,,,,,,,,,,,,,
,2023-05-03 02:39:04.408588,0.10940137505531311,0.00043931862455792725,-447.9034118652344,1949.0,7.0,,,,,,,,,
0.02,2023-05-03 02:39:30.824884,,,,,,,,,,,,,,
,2023-05-03 02:39:32.793771,0.08583277463912964,0.0002854605845641345,-457.25433349609375,1999.0,7.0,,,,,,,,,
,2023-05-03 02:39:34.871969,,,,,7.0,0.09241670370101929,0.0006618067855015397,-457.4333190917969,0.030393438413739204,0.00011341849312884733,-457.49530029296875,,,
,2023-05-03 02:39:34.883176,,,,,7.0,,,,,,,0.11466363072395325,0.0034285427536815405,-433.49029541015625
0.02,2023-05-03 02:41:31.823282,,,,,,,,,,,,,,
,2023-05-03 02:41:32.351567,0.11746811866760254,0.0004017481696791947,-466.4572448730469,2049.0,8.0,,,,,,,,,
0.02,2023-05-03 02:41:58.615877,,,,,,,,,,,,,,
,2023-05-03 02:41:59.152343,0.30537521839141846,0.0018856674432754517,-475.4120788574219,2099.0,8.0,,,,,,,,,
0.02,2023-05-03 02:42:25.438353,,,,,,,,,,,,,,
,2023-05-03 02:42:25.974592,0.044301051646471024,0.0001509715657448396,-484.72503662109375,2149.0,8.0,,,,,,,,,
0.02,2023-05-03 02:42:52.310629,,,,,,,,,,,,,,
,2023-05-03 02:42:52.847180,0.09424610435962677,0.0003594963636714965,-493.636962890625,2199.0,8.0,,,,,,,,,
0.02,2023-05-03 02:43:19.151962,,,,,,,,,,,,,,
,2023-05-03 02:43:19.678008,0.01584397256374359,6.663230306003243e-05,-502.5882263183594,2249.0,8.0,,,,,,,,,
